,Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,Opposition,Ground,Match Date
36,France,lost,11.0,18.0,-7.0,1,0,2,0,v Ireland,Lansdowne Road,14 Feb 2015
37,France,won,15.0,8.0,7.0,0,0,5,0,v Scotland,Stade de France,7 Feb 2015
38,France,lost,13.0,18.0,-5.0,1,1,2,0,v Argentina,Stade de France,22 Nov 2014
39,France,won,29.0,26.0,3.0,2,2,5,0,v Australia,Stade de France,15 Nov 2014
40,France,won,40.0,15.0,25.0,5,3,3,0,v Fiji,Marseille,8 Nov 2014
41,France,lost,13.0,39.0,-26.0,1,1,2,0,v Australia,Sydney,21 Jun 2014
42,France,lost,0.0,6.0,-6.0,0,0,0,0,v Australia,Melbourne,14 Jun 2014
43,France,lost,23.0,50.0,-27.0,2,2,2,1,v Australia,Brisbane,7 Jun 2014
44,France,lost,20.0,22.0,-2.0,2,2,2,0,v Ireland,Stade de France,15 Mar 2014
45,France,won,19.0,17.0,2.0,1,1,4,0,v Scotland,Murrayfield,8 Mar 2014
46,France,lost,6.0,27.0,-21.0,0,0,2,0,v Wales,Millennium Stadium,21 Feb 2014
47,France,won,30.0,10.0,20.0,3,3,3,0,v Italy,Stade de France,9 Feb 2014
48,France,won,26.0,24.0,2.0,3,1,3,0,v England,Stade de France,1 Feb 2014
0,Italy,-,0.0,0.0,0.0,-,-,-,-,v Japan,-,16 Jun 2018
1,Italy,-,0.0,0.0,0.0,-,-,-,-,v Japan,-,9 Jun 2018
2,Italy,lost,15.0,46.0,-31.0,2,1,1,0,v England,Rome,4 Feb 2018
3,Italy,lost,6.0,35.0,-29.0,0,0,2,0,v South Africa,Padova,25 Nov 2017
